kanji	yomi
影響	えいきょう
役割	やくわり
役員	やくいん
役所	やくしょ
役目	やくめ
役立	やくだち
待	ま
後	あと
後方	こうほう
後日	ごじつ
後期高齢者医療制度	こうきこうれいしゃいりょうせいど
後見	こうけん
後見人	こうけんにん
後見開始	こうけんかいし
後輩	こうはい
後遺症	こういしょう
後鼻道	こうびどう
徐	じょ
徐々	じょじょ
従業員	じゅうぎょういん
得	え
得意	とくい
復帰	ふっき
循環器系	じゅんかんきけい
循環式浴槽	じゅんかんしきよくそう
徴候	ちょうこう
徴収	ちょうしゅう
徹底	てってい
心	こころ
心停止	しんていし
心情	しんじょう
心機能	しんきのう
心気妄想	しんきもうそう
心理	しんり
心理症状	しんりしょうじょう
心理的	しんりてき
心理的特徴	しんりてきとくちょう
心疾患	しんしっかん
心筋梗塞	しんきんこうそく
心臓	しんぞう
心身	しんしん
心身機能	しんしんきのう
心配	しんぱい
必要	ひつよう
必須	ひっす
必須事業	ひっすじぎょう
忘	わす
忘れ	わすれ
忙	いそが
応	おう
応益負担	おうえきふたん
応答	おうとう
快適	かいてき
念	ねん
怒	いか
怒鳴	どな
思	おも
思想	しそう
思考	しこう
急	きゅう
急激	きゅうげき
性	せい
性交痛	せいこうつう
性差	せいさ
性格	せいかく
性洗剤	せいせんざい
性状	せいじょう
性的欲求	せいてきよくきゅう
性質	せいしつ
恐怖	きょうふ
恒常性	こうじょうせい
恥骨部	ちこつぶ
息	いき
息切	いきぎ
息子	むすこ
患側	かんそく
悩	なや
悪	わる
悲	かな
悲嘆	ひたん
情動	じょうどう
情報	じょうほう
情報伝達	じょうほうでんたつ
情報提供	じょうほうていきょう
意向	いこう
意味	いみ
意味性失語	いみせいしつご
意図	いと
意思	いし
意思決定	いしけってい
意思決定支援	いしけっていしえん
意思決定支援者	いしけっていしえんしゃ
意思疎通	いしそつう
意思疎通支援用具	いしそつうしえんようぐ
意思表示	いしひょうじ
意欲	いよく
意見	いけん
意識	いしき
愛情欲求	あいじょうよくきゅう
感	かん
感情	かんじょう
感染	かんせん
感染予防	かんせんよぼう
感染対策	かんせんたいさく
感染者	かんせんしゃ
感覚	かんかく
感覚機能	かんかくきのう
感覚障害	かんかくしょうがい
慕	した
慢性的	まんせいてき
慢性閉塞性肺疾患	まんせいへいそくせいはいしっかん
慣	なれ
憤慨	ふんがい
成人	せいじん
成功体験	せいこうたいけん
成年後見制度	せいねんこうけんせいど
成熟	せいじゅく
成長	せいちょう
戸	と
戸惑	とまど
戻	もどり
所	ところ
所属	しょぞく
所轄庁	しょかつちょう
扁桃体	へんとうたい
手	て
手前	てまえ
手前端	てまえたん
手指	てゆび
手掌	しゅしょう
手段的	しゅだんてき
手段的日常生活動作	しゅだんてきにちじょうせいかつどうさ
手法	しゅほう
手話	しゅわ
手足	てあし
手関節	しゅかんせつ
手順	てじゅん
打	う
打ち	うち
扱	あつか
扶	たす
扶養	ふよう
承認	しょうにん
承認欲求	しょうにんよくきゅう
承諾	しょうだく
技法	ぎほう
技術	ぎじゅつ
把握	はあく
抑	おさ
抑うつ	よくうつ
抑制	よくせい
抜	ぬ
抜去	ばっきょ
抜去予防	ばっきょよびょう
抱	だ
抵抗力	ていこうりょく
押	お
押さ	おさ
担当	たんとう
担当介護支援専門員	たんとうかいごしえんせんもんいん
担当者	たんとうしゃ
担当者会議	たんとうしゃかいぎ
拇指	ぼし
拒否	きょひ
拒絶的	きょぜつてき
拘縮	こうしゅく
拭	ふき
持	も
持病	じびょう
持続	じぞく
指	ゆび
指先	ゆびさき
指定	してい
指定対象外	していたいしょうがい
指定避難所	していひなんじょ
指導	しどう
指導者	しどうしゃ
指差	ゆびさ
指指	ゆびさ
指摘	してき
指示	しじ
指関節	しかんせつ
挨拶	あいさつ
振	ふ
挿入	そうにゅう
捉	とら
捨て	すて
掃き	はき
掃除	そうじ
排便	はいべん
排便回数	はいべんかいすう
排出	はいしゅつ
排泄	はいせつ
排泄後	はいせつご
探	さが
接	せっ
接種	せっしゅ
接触型	せっしょくがた
控	ひか
推進	すいしん
措置	そち
措置制度	そちせいど
掻	か
描	えがき
提供	ていきょう
提供責任者	ていきょうせきにんしゃ
提唱	ていしょう
提案	ていあん
換気	かんき
握	にぎ
